Team,PtDiff,Offense,Defense,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
St Francis NY,91.1210755557,90.9089733688,100.482510997,100.169906139,97.7668334438,100.417906556,100.866482964,99.764783032,98.4354654618,99.5866861547,98.4669707454,100.757632859
Incarnate Word,96.0065653859,95.0631265888,101.08789504,100.926481629,97.5705989948,96.5718864166,99.1721840024,98.7675926678,100.262197357,100.730968943,96.6672588008,101.330420069
Indiana,117.686463759,110.006518242,102.621659343,102.322241814,101.107991836,100.971883252,100.998670244,101.285515747,102.722667057,101.19845152,99.6085995747,102.361067509
Penn St,101.557890001,96.7771994357,103.017630345,99.0584840353,100.062647538,100.207911008,101.094473822,98.9897794273,97.4077666089,99.4283896158,100.314170293,98.9479940216
Jackson St,96.139341658,94.3542471559,100.726759294,99.6510462103,99.5271012366,100.600884371,100.350874604,99.4925300446,98.3641291875,101.734779441,96.1793066566,96.0082134757
Old Dominion,104.351026197,95.7307086475,106.755976555,97.7107084848,99.4442525523,101.314510662,100.498212816,97.4067414067,99.8271181363,99.9007360288,97.7950722906,101.741283927
Colorado,110.217081255,103.564900556,103.459334209,100.49373956,104.169135434,101.609755168,101.469525926,100.895667156,101.110955405,98.8595536817,103.178602376,102.374070514
Colorado St,100.295765636,104.365964189,95.5784933149,101.614523821,100.873302232,100.160556101,99.101945004,99.1135457725,99.6517657536,97.5057334925,102.149050914,101.554137432
UNC Asheville,101.660363621,100.475644145,99.8163339152,99.0709363021,99.3160609543,99.8286440273,99.6104267523,100.456760007,98.9983175836,101.874321661,101.066226137,100.4544347
UMBC,89.0853399389,97.6406138443,92.7969844504,99.8879041545,97.929935918,97.7319246882,98.1009020332,99.3437790362,99.2007434746,100.505754587,101.623136895,101.52304666
UNC Wilmington,107.102286213,104.020150376,99.3583000194,100.069098656,101.112145099,101.567384176,100.644530784,99.3219426887,100.02616396,101.236485958,101.269257229,94.6235104869
UNC Greensboro,94.6628195553,96.9211047064,97.1686682769,101.477977049,98.5480275847,99.7219465175,98.4145286054,99.2095004335,99.7597943843,99.7896536172,95.1880430454,99.3999707455
USC,114.145124114,108.232923041,101.790826367,100.867496934,103.755053743,100.950224747,101.613090106,99.8141411123,101.802651291,100.162747065,100.793277152,102.99750047
UNLV,107.771696198,101.928449032,103.751731615,99.6971215181,101.64647372,100.229798581,101.943706529,101.197146896,101.347816442,100.988664055,101.300536402,99.015385704
UT San Antonio,83.1046601281,98.3833719751,87.8718914004,99.6014372606,98.9502913095,98.7355272443,99.3482085533,100.264178518,97.8188679848,99.8057248547,101.570564598,96.8934642028
UT Arlington,106.647272018,104.874644981,99.1766277646,101.001380557,101.419606429,103.269966615,99.4186755177,100.082599096,103.267495142,101.706147327,100.095026263,99.6532024047
Utah St,100.595611998,99.6765610222,100.150324425,100.971335452,99.9712350849,100.031881692,99.1214766688,100.320713733,100.360217433,99.6438530364,98.1683685346,104.134795519
Utah,111.980501693,103.741063798,103.720436686,100.119155418,102.159993312,99.4480536678,100.832518364,99.6481878291,101.003970241,99.3860863786,102.054262574,105.647850809
Grambling,82.2309425055,85.9559038122,98.0707947042,97.8551345135,97.7398769583,97.9974561629,98.1899377524,100.194781307,95.024298321,100.066902665,100.036211914,100.699559399
Grand Canyon,102.801678232,102.044513504,99.9599797729,99.1533530577,100.537294772,99.8836192059,98.9553130004,99.8372953044,100.354176528,99.9497440543,102.228286695,99.4620265761
Samford,96.5312377052,98.3468028999,98.1820200356,98.8198558144,97.6924730499,99.729474909,99.581694709,99.8328958487,99.5638804852,100.68114421,100.766189413,97.5615702856
Sam Houston St,95.344249775,96.033121368,99.1048459161,99.7753519987,100.031874973,99.8416684246,98.4341456889,98.8475944892,100.640396231,99.1111576366,99.359259017,98.2764766693
Hartford,85.2717287338,96.4531993589,90.5055051895,101.42293083,97.6850915161,96.8600701674,98.1381591113,99.6183724093,98.8059657934,100.263947577,100.343136446,97.1495713519
Harvard,100.884013447,95.7957817938,103.619324317,100.473662726,101.16638143,99.2454768108,101.319650176,101.34489022,102.25193158,98.9739714085,97.5130640925,102.102433919
Hampton,93.1081111618,97.9911531631,96.7164750778,99.593048573,99.9529649074,101.574640227,99.9486990232,100.836723642,98.6560767109,99.761979675,103.018262708,99.1283544603
Rutgers,92.1581105032,96.4753285088,96.3081654506,98.4647070526,100.52932231,98.8225286138,100.172820818,100.262495693,98.8489371586,99.6757708844,98.9590281359,100.951242646
Robert Morris,88.3890691239,91.5508307101,98.6835962148,99.2916743312,97.952469804,98.5926778539,100.505027734,101.111029914,99.1866478526,101.893986256,98.4819883369,101.209917441
Hawaii,107.432788964,103.282588733,101.292900218,99.9248043456,100.135166403,99.6945823019,100.330784149,99.938419437,101.242488758,101.731378682,103.837573789,98.4548668286
Richmond,106.096548032,104.79529441,97.440682832,100.91861001,99.7130845302,98.8998360329,99.0432788929,98.4125605182,102.958602658,100.317482255,100.236793835,100.216925274
Sacred Heart,88.0823153696,98.2037643913,91.6083337791,99.1163589488,98.2090636548,100.66731466,99.0128868666,101.467553246,98.2107537358,100.337998452,102.220457529,96.9390855505
S Illinois,103.061327175,101.51050132,98.83961352,99.5473889283,98.9645649141,100.322023496,98.7794550753,100.085693988,98.9232021445,100.524793981,101.275255244,98.3969903766
S Dakota St,107.191038396,103.453010853,101.210069238,101.107431067,101.190355474,100.080652253,98.9825609896,99.0421552569,99.224744103,99.0597530081,101.34147018,98.1644683788
S Carolina St,93.1496990544,98.2228496407,95.25796129,98.8059604878,97.4165628709,99.2813736609,99.1903838451,98.3517789279,99.5236478612,99.4408468722,98.7190916895,99.6459452786
CS Northridge,93.3334651987,98.4792326559,96.2622608499,97.767038392,100.25297528,98.7078492177,99.7030900257,100.814661127,100.567432146,100.056499675,101.294894248,100.668299228
WI Milwaukee,103.006292556,102.040735943,100.101729536,101.391256962,99.4253433595,98.8276210871,98.9300555176,98.367216812,102.113218477,98.6321441433,99.4765260653,101.900164963
Wichita St,115.278253524,103.018792717,107.789073644,100.742804623,99.5669089211,100.722259398,99.7009346767,98.1921606593,101.414479032,101.058482873,100.921754497,98.3318854492
Alabama,105.881018013,96.6453872136,106.020770397,100.214731377,101.367486176,99.5566683242,101.654286645,100.807050964,98.7664435122,100.105962741,99.9694442775,101.194667828
Alabama A&M,92.1416077572,95.6946743942,97.0949787099,100.078102508,97.6224935669,100.286798648,98.6799943856,98.6516469259,99.4937845535,99.3367708978,99.2535499886,98.1063310183
Washington St,101.035697731,101.647749804,98.7893176606,99.2261963901,101.338900709,98.089901728,100.989245934,101.327825835,100.480406796,99.2849630808,99.787107149,98.6137946424
Weber St,102.906334703,98.7677610653,103.217932103,100.310311705,102.736293932,99.7193141173,99.8215778522,100.879913067,99.6271655905,98.7309087647,101.374937336,103.38036447
West Virginia,121.135589458,107.434812588,107.28798007,99.0952150547,100.115765594,104.357244056,99.4655625468,101.243961502,102.128466797,103.95855161,106.610913551,94.8381205175
Abilene Chr,87.5588426252,93.4409682581,96.3580818297,98.9840053297,97.4165243659,98.1823582674,99.1575337792,99.9432010688,98.4741629004,100.590985132,100.224009015,98.5787204204
Wisconsin,109.623651022,98.9703136019,107.751564083,99.2698546777,99.5499979434,100.569550295,100.075220076,98.4020962909,98.5994785416,99.8563932096,100.976115867,102.314954114
