Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Seton Hall,72,57,64,52,38,75,77,30,50,33,56,68,52
SF Austin,41,19,55,18,20,29,60,37,90,25,52,56,40
Siena,52,51,43,46,33,55,67,58,63,42,41,75,41
SMU,89,62,78,37,55,73,70,51,33,66,38,54,92
South Alabama,39,38,44,46,40,35,53,47,56,34,66,61,35
South Carolina,80,49,78,51,41,48,75,57,52,40,75,76,37
South Dakota,55,52,46,48,35,64,50,43,44,27,52,87,57
South Florida,31,30,40,33,25,49,55,54,93,34,36,41,38
Southern Miss,25,12,46,35,37,53,35,21,45,31,16,23,58
Southern Univ,28,35,31,47,16,46,72,48,54,17,30,62,35
Southern Utah,17,50,10,60,65,39,63,43,62,25,31,74,5
St Bonaventure,63,58,50,48,39,43,65,64,48,35,63,80,36
St Francis NY,10,9,38,62,46,19,69,29,32,5,48,43,22
St Francis PA,38,47,34,58,56,45,56,49,72,42,53,29,76
St John's,57,70,42,67,67,57,51,93,50,41,56,71,36
St Joseph's PA,50,43,50,51,30,52,61,51,35,25,27,74,59
St Louis,34,13,58,17,46,48,32,30,56,30,30,21,51
St Mary's CA,87,47,82,20,66,59,52,35,33,67,13,9,86
St Peter's,58,19,79,11,63,39,31,29,19,26,59,19,79
Stanford,61,48,60,31,23,61,51,41,64,48,52,68,53
Stetson,26,49,19,68,56,56,33,19,31,34,11,50,45
Stony Brook,45,31,54,50,59,36,63,32,22,29,24,44,41
Syracuse,72,65,60,46,68,50,55,67,40,62,73,55,68
TAM C. Christi,46,41,44,44,19,32,50,50,53,35,78,52,44
TCU,73,60,66,51,48,54,67,72,46,75,49,44,72
Temple,57,52,54,56,66,56,47,59,35,54,43,31,63
Tennessee,69,62,56,56,33,69,70,71,34,59,33,89,37
Tennessee St,53,32,61,36,28,55,70,50,73,23,49,60,16
Tennessee Tech,36,35,44,44,47,43,55,45,56,40,50,49,41
Texas,61,44,68,43,28,62,48,72,54,35,46,51,71
Texas A&M,69,45,71,39,34,63,78,93,59,71,49,41,80
Texas St,46,20,65,22,31,30,45,57,27,46,43,34,56
Texas Tech,73,50,74,30,38,45,38,43,18,46,32,45,68
TN Martin,45,49,39,55,56,36,77,37,72,56,53,36,59
Toledo,56,51,49,33,50,60,52,29,47,58,2,58,75
Towson,59,49,55,43,19,61,90,46,59,16,57,86,26
Troy,51,55,39,49,55,48,62,45,46,29,38,61,51
Tulane,36,48,31,60,38,40,60,51,58,41,42,60,39
Tulsa,54,47,53,20,47,65,44,34,76,31,18,75,60
UTRGV,28,53,18,79,55,33,62,27,67,46,62,45,3
TX Southern,50,52,38,59,30,38,63,42,24,28,52,77,55
UAB,48,38,50,25,30,56,49,69,67,52,20,55,69
UC Davis,44,36,45,35,34,47,53,41,75,39,36,65,51
UC Irvine,54,36,58,44,45,81,67,64,68,34,25,38,34
UC Riverside,24,13,47,37,30,47,49,36,67,27,45,27,56
UCF,66,36,74,19,37,91,56,60,78,25,6,64,86
UCLA,89,98,45,82,72,97,49,82,45,98,49,38,77
ULL,56,74,32,73,44,42,83,25,54,49,54,78,48
ULM,34,21,52,52,42,50,56,18,40,37,19,9,62
UMBC,49,61,31,57,67,46,40,15,35,44,50,54,38
UNC Asheville,62,55,51,40,56,43,30,17,29,58,76,48,67
UNC Greensboro,58,44,53,51,66,41,61,47,60,40,45,23,53
UNC Wilmington,73,75,42,80,72,36,75,43,26,60,49,48,44
UNLV,40,34,46,44,39,63,63,28,54,34,35,69,80
USC,72,69,53,47,49,68,57,86,43,56,49,74,83
UT Arlington,71,66,51,65,62,70,74,20,53,63,61,60,48
UT San Antonio,36,24,49,59,17,62,81,22,49,14,32,61,46
Utah,73,67,58,41,38,75,49,47,64,56,47,52,67
Utah St,52,44,53,23,51,66,37,42,57,55,14,50,68
Utah Valley,45,55,35,46,62,77,29,54,74,56,34,56,42
UTEP,42,25,57,20,23,57,24,40,55,40,31,37,49
VA Commonwealth,76,60,65,49,33,54,58,59,50,57,68,58,39
Valparaiso,63,47,59,40,43,66,56,28,51,31,38,52,60
Vanderbilt,75,55,68,27,79,73,32,58,39,50,21,44,71
Vermont,69,48,65,29,38,42,46,55,41,42,34,39,79
